23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb
0.1248988363155657,,0.1565843281762081,0.1327089674939108,,,,,,,,,,,0.1979832970102703,,,,,,,,,0.0044447750985526,,,,,0.3833797959054923
0.9844821858489662,,,,,,,,,,0.0086957984608823,,,,,,,,,,,,,,,,,,0.0068220156901514
,,,,,,,,,,,,0.926202484684846,,,,,,,,,,,,,,,,0.0737975153151541
,,,,,,0.6630370155581391,,,,,,,,,,,0.3369629844418608,,,,,,,,,,,
,0.5081210074236782,0.3865355856256223,,,,0.1053434069506993,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9804465799711224,,,,,,,,,,,,,,,,,,,0.0195534200288775
,,,,,,,,,,,,,,0.8625024614183067,,,,,,,,,,,,,,0.1374975385816934
,,0.7165674107635666,,,,,,,,,,,,,,,,,,,,,,,,,,0.2834325892364333
,,0.0726419050112026,,,,,,,,0.0273967725500711,,,,0.8016433359405554,,,,,,,,,,,,,,0.0983179864981708
,,0.6191224129740395,,,,0.2579734692528513,,,,,,,,,,,,,,,,,0.032490646323441,,,,,0.0904134714496681
,0.5893717756331578,0.4106282243668422,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.6397408486774776,,,,,,,,,,,,,,,,,,,,,,,,,,0.3602591513225225
,,0.6830062101722547,,,,,,,,,,,,,,,,,,,,,,,,,,0.3169937898277454
,,,,,,,,,,,,,,0.6061869381294037,,,,,,,,,,,,,,0.3938130618705962
,,0.9653599037481784,,,,,,,,,,,,,,,,,,,,,0.0346400962518216,,,,,
,,,,,,0.7262577434846309,,,,,,,,,,,,,,,,,,,,,,0.273742256515369
,,,,,,,,,,,,,,0.6675037370484834,,,,,,,,,,,,,,0.3324962629515165
0.568996726845291,,0.3437516955174133,,,,,,,,,,,,,,,,,,,,,0.047744273987863,,,,,0.0395073036494326
,,0.8449540780096498,,,,,,,,,,,,,,,,,,,,,,,,,,0.1550459219903502
,,0.1952247396885663,,,,0.6671786622632555,,,,,,,,,,,0.1309522756799077,0.0044220749441871,,,,,0.0022222474240831,,,,,
,0.2559882313605259,0.0219482164664927,,,,,,,0.2472625596426151,0.024353921380847,,,,,,,,,,,,,0.0079259701226478,,,,,0.4425211010268712
,,,,,,,,,0.9520321874620497,,,,,,,,,,,,,,,,,,,0.0479678125379503
,0.0060773050703436,0.0137023919497868,,,,0.9589669431956764,0.0008234290274347,0.0016096234152672,0.0133930747841142,,,,,,,,,0.0033681497417076,,,,,,,0.0004376266919309,,,0.0016214561237381
,,,,,,,,,,,,,,0.868254993941728,,,,,,,,,,,,,,0.131745006058272
,,,,,,,,,0.9951914383911626,,,,,,,,,,,,,,,,,,,0.0048085616088372
,,,,,,,,,,,,,,0.2794964537599822,,,,,,,0.3936530396099183,,,,,,,0.3268505066300994
,,0.3145073907245796,,,,0.6854926092754204,,,,,,,,,,,,,,,,,,,,,,
,,0.2497749102890877,,,,0.7332406604462929,,,,,,,,,,,,,,,,,0.0071074801388996,,,,,0.0098769491257197
,,0.748309494840421,,,,,,,,,,,,,,,,,,,,,,,,,,0.2516905051595791
,,0.6163095640451957,,,,,,,,0.1254863371136161,,,,,,,,,,,,,,,,,,0.2582040988411883
