23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb
,,,,,,,,,,0.0562993345948273,,,,0.9437006654051726,,,,,,,,,,,,,,
,0.167935136975169,,,,,,,,,0.1158491756707864,,,,0.7162156873540445,,,,,,,,,,,,,,
,,,,,,,,,,0.7239246589234618,,,,0.2760753410765381,,,,,,,,,,,,,,
,,,,,,,,,,0.1230662189599458,,,,0.8769337810400543,,,,,,,,,,,,,,
,0.086003962096528,,,,,,,0.0102232885549611,0.2931623454852567,0.1563511826456983,,,,0.4526773478236837,,,,,,,,,,,,,,0.0015818733938719
,,,,,,,,,0.9519441311414788,0.0480558688585211,,,,,,,,,,,,,,,,,,
,,0.4387951246930192,,,,0.5612048753069807,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,0.972725157403741,,,,,,,,,,,,,,0.027274842596259
,0.1786285838925631,,,,,,,,0.4035810718819534,0.1326930704460963,,,,0.285097273779387,,,,,,,,,,,,,,
,,,,,,,,0.2239443282884861,0.7760556717115138,,,,,,,,,,,,,,,,,,,
,,,,,,,,,0.9009007826398084,0.0990992173601917,,,,,,,,,,,,,,,,,,
,,,,,,,,,,0.0585206592566693,,,,0.9414793407433306,,,,,,,,,,,,,,
,,,,,,,,,0.4076025353174294,0.0621349783142093,,,,0.530262486368361,,,,,,,,,,,,,,
,0.0815509631104165,,,,,,,,0.3768862544824416,0.0958107731572895,,,0.0047354526724713,0.4395226776746423,,,,,,,,,,,,,,0.0014938789027386
,,,,,,,,,,0.1208626814152979,,,,0.879137318584702,,,,,,,,,,,,,,
,0.1678569410593187,,,,,,,,,0.1284537039003682,,,,0.7036893550403129,,,,,,,,,,,,,,
,,,,,,,,,0.6189902753865948,0.0219364034600084,,,,0.3054337447029528,,,,,,,,,,,,,,0.0536395764504437
,,,,,,,,,,0.235189424061406,,,,0.764810575938594,,,,,,,,,,,,,,
,,,,,,,,,0.4608998274000122,0.2102376801830766,,,,0.3288624924169112,,,,,,,,,,,,,,
,0.1466717266902535,,,,,,,,0.5369099502072799,0.1287890921153826,,,,0.1876292309870838,,,,,,,,,,,,,,
,,,,,,,,,,0.302415508523994,,,,0.6975844914760059,,,,,,,,,,,,,,
,0.0704806379398771,,,,,,,,0.1780904173370804,0.0501294784419177,,,,0.7012994662811247,,,,,,,,,,,,,,
,,,,,,,,,0.3741151297952184,0.1079117583723229,,,,0.5179731118324586,,,,,,,,,,,,,,
