23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,2.955972790110152e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,2.545386105960365e-15,7.342047101410055e-16,,,,3.5241599633809987e-15,,,,,,,,,,,,,,,17920
,,,,6.240965383463267e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,1.7063839029257415e-15,,,,,,,,1.3739614675807438e-14,3.0161766045565776e-15,,,,7.770858922010639e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,8.563122219894967e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,8.572190085248906e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,6.566006886016401e-15,,,,2.7675225580354508e-15,,,,,,,,,,,,,,1.902833956566677e-16,268452864
2.2660240611881647e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
2.417167947430533e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,8.62604734803543e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,,9.15203636864627e-16,,,,1.7500590033923767e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,3.8190633935521674e-16,,,,,,,,,,,,,,,,,,,1024
,,,5.7584171088798695e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,6.2004474254784785e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,8.914745592712091e-16,,,,4.916308318005558e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,9.126704326763696e-16,,,,,,,,,,,,,,7.654474893223481e-17,268451840
,,,,,,,,,,1.1413187170923217e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,8.690072334850064e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,1.0131860011584856e-15,,,,,,,,,,,,,,,,,4096
,7.975463020329309e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,2.4288625029558403e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,3.9714835570221943e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,2.4910239679496386e-15,5.613464345687468e-16,,,,,,,,,,,,,,,,,,,1536
,,,6.320458182426743e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,9.542450220849517e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,7.435577548721258e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,8.554054354541036e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,8.819850300652123e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,,3.335822285189547e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,8.577596609881261e-16,,,,,,,,,,,,,,,16384
1.8089060182301475e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,8.617972225009727e-16,,,,,,,,,,,,,,,16384
,,,,4.408038522716099e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,2.942647523187637e-16,,,,,,,,,,,,,,,,,,,1024
,9.03596391438705e-16,,,,,,,,4.032731231563826e-15,1.9190981438554566e-15,,,,2.3871849772765407e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,9.908941173747116e-16,,,,1.4948856348722758e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,1.1869618414801716e-15,,,,5.42988536380197e-15,,,,,,,,,,,,,,,17408
1.8103804771324705e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,1.0204402934416333e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,6.524520947204348e-16,,,,1.2082193514384607e-15,,,,,,,,,,,,,,,17408
,8.807898811883403e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,1.2344415514768903e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,1.1008204098561634e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,1.0530845358522772e-15,,,,,,,,,,,,,,,,,4096
,,2.403705364440505e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,4.564455892895633e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,1.178399043298129e-16,,,,,,,,,,,,131072
,1.3996369814628147e-15,,,,,,,,2.943316257288291e-15,2.5312035848951374e-15,,,,1.746828954182096e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,2.7302170257415405e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,2.682378344292101e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,,,,,,8.795624931575031e-16,,,,,,,,,,,,,,,16384
,1.2035013598265227e-15,,,,,,,,4.14362981837808e-15,1.233553874005888e-15,,,,5.5219416365219245e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,2.562781815396153e-15,7.125540931178982e-16,,,,2.996048085457245e-15,,,,,,,,,,,,,,5.493354449529903e-17,268453376
,,,,,,,,,,,,1.0539913223876715e-15,,,,,,,,,,,,,,,,,4096
,1.082627130387222e-15,,,,,,,,2.390997983465195e-15,1.0445874872607883e-15,,,,9.142854572815087e-16,,,,,,,,,,,,,,,17922
,7.485124424384628e-16,,,,,,,,,9.744396796126669e-16,,,,9.691960991967824e-16,,,,,,,,,,,,,,5.682775382829808e-17,268452866
,,,,4.205784489263266e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,1.0295081587955681e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.7284826452059018e-16,,,,3.3045171361739596e-15,,,,,,,,,,,,,,1.0108336622051279e-16,268452864
,,,,,,,,3.1585390188838754e-16,,,,,,,,,,,,,,,,,,,,,256
,,,6.407864584485904e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,4.425279946481811e-16,,,,,,,,,,,,,,,,,,,1024
,,,,4.610292556168924e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,2.9495757250886533e-16,,,,1.3259508557668063e-14,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,,,,,,,3.9557459964345967e-16,,,,,,,,,1048576
,3.1808217668478546e-15,,,,,,,,1.6031518570331405e-14,9.563314596808851e-15,,,,1.2579585405044933e-14,,,,,,,,,,,,,,8.834050091906912e-17,268453378
,,,,,,,,,,,,,2.463176882632383e-16,,,,,,,,,,,,,,,,8192
,,,,,,,,,,,,8.42710496822116e-16,,,,,,,,,,,,,,,,,4096
,1.1031529896125502e-15,,,,,,,,4.717692947405451e-15,3.114903453811117e-15,,,,9.950364928790078e-16,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,,,,,,,,,,,,,,,,3.064212455768373e-17,,134217728
,,,,4.2268526530167274e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,,,1.0349488780079286e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,2.4736282585138514e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,,,,,,,,,6.701754776012707e-17,,,,,,,,,,,,,65536
,,,5.5336810157882e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,2.4161052921199323e-16,,,,2.5729124175486256e-15,,,,,,,,,,,,,,,17408
,,,,,,,5.135198365779596e-16,6.837379724074497e-14,2.5885800695185516e-13,1.0087341955169652e-15,2.3751538908365365e-16,2.2436928523277272e-15,,,,,,,7.212356569699023e-15,,,,,,,4.990882257848795e-14,,1.793486425660007e-16,336076672
,,,,,,,,,,2.942647523187637e-16,,,,1.3866792458739094e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,9.2155300311815e-16,,,,,,,,,,,,,,,16384
1.8782110370662874e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,4.07665179082889e-16,,,,,,,,2.28966588577879e-16,,,,,,,,,,,,,,,,,,,1028
,,,,,,6.185777065619184e-15,,,,,,,,,,,,,,,,,,,,,,,64
,3.5468657982201483e-15,,,,,,,4.719649728696818e-16,1.191305103211055e-14,7.296757882034868e-15,,,,2.0452006166968803e-14,,,,,,,,,,,,,,,18178
,,,,,,,,,,,,8.735411661619729e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,8.076434832803277e-16,,,,,,,,,,,,,,,,,,,1024
,9.43507692747631e-16,,,,,,,,2.506431290106315e-14,2.925763820265575e-15,,,2.7726461322132534e-16,2.4877972467450014e-14,,,,,,,,,,,,,,2.5365329908256e-16,268461570
,,,,,,,,,,7.210411265290288e-16,,,,2.3742647804354185e-15,,,,,,,,,,,,,,,17408
,,,,5.0358684482476685e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,5.7974710840756946e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,8.717275930911861e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,3.384929524445549e-15,,,,1.492463033078083e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,6.297622752474556e-16,,,,1.149271018237366e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,1.2175287292391364e-16,,,,,,,,,,,,,,,,,,,1024
2.3751425510631365e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,9.960901852946415e-16,,,,1.1500785954264213e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,2.4714537729934203e-15,3.030981958249464e-16,,,,1.3010830715745027e-15,,,,,,,,,,,,,,,17920
,,,,,,,,,,4.986462908701873e-16,,,,3.826168915677152e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,8.955756315611706e-15,1.3741960942441614e-15,,,,8.95547693930725e-15,,,,,,,,,,,,,,1.5903622180659186e-15,268453376
,,,,,,,,,,,,,,8.795624931575031e-16,,,,,,,,,,,,,,,16384
,,,5.4220984002972765e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,1.1573461412630626e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,9.578721682265252e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,3.855367036848383e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,1.0136092109516235e-15,,,,,,,,,,,,,,,16384
,,,,,4.478391513721097e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,1.0322285184017493e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,1.497308106893504e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,1.2365812844669959e-16,,,,,,,,,,,,,,,,,,,1024
,3.964224019509713e-15,,,,,,,,9.75161696772286e-15,1.0485629790850126e-14,,,,1.775091819885556e-15,,,,,,,,,,,,,,1.5308801364841143e-16,268453378
,,,,,,,,,,,,8.42710496822116e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.7648555660099466e-16,,,,1.735523781946127e-15,,,,,,,,,,,,,,2.840467420735213e-16,268452864
,,,5.4406953036323024e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,4.5091653701523286e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,6.200099540490585e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,5.429867273662739e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,8.817022449805147e-16,,,,,,,,,,,,,,,,,4096
,1.9321679878875105e-15,,,,,,,,6.059347892595504e-15,2.696094456116485e-15,,,,6.8365688100998e-15,,,,,,,,,,,,,,,17922
,6.413638455679894e-15,,,,,,,6.950579134045448e-16,2.2676732342550888e-14,1.2165021923381375e-14,,,2.1368883377327124e-16,2.238761049588211e-14,,,,,,,,,,,,,,,26370
,,,,,,,,,,1.6793828034440146e-15,,,,4.7992193585653894e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,1.0858931714722127e-16,,,,8.674498086189601e-16,,,,,,,,,,,,,,,17408
,,,,,,,,,,4.259003379209693e-16,,,,2.0100774457278987e-15,,,,,,,,,,,,,,,17408
,,,,,,,,3.050503682402823e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,2.9451747455088824e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,1.1891022247072142e-15,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,1.752481475413605e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,2.6954252574146746e-15,,,,,,,,,,,,,,,,,,,,512
,,,,,4.7339768429677e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,3.2700043671296783e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,1.1274682509544738e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,9.714738933939059e-16,,,,,,,,,,,,,,,,,4096
,,,,4.462815748475091e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,,,,,,,,,,2.0991407510294474e-16,,,,1.3731095223276758e-14,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,1.0520433056454657e-14,,,,,,,,,,,,,,,16384
,,,,,,,,,3.223824365240706e-15,2.442349576443646e-15,,,,4.379313999412993e-15,,,,,,,,,,,,,,,17920
,,,,,,,,,,,,9.415500105894417e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,1.3318439214298741e-16,,,,,,,,,,,,,,,,,,,1024
,1.0963110365374413e-15,,,,,,,,7.274882677600651e-15,6.333995673278604e-16,,,,3.603296039259845e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,,,,,,,,,,,,,,3.202284060531837e-17,,,,33554432
,2.52513597158804e-15,,,,,,,3.766237922231071e-16,8.475196588145693e-15,4.0909117950562084e-15,,,,1.1652563098516672e-14,,,,,,,,,,,,,,,18178
,,,,,,,,,,1.5032335623805528e-15,,,,4.1015302864209406e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.802080520411714e-17,268435456
1.7985838580135495e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,1.3267752191512567e-14,1.0045772743763411e-15,,,,9.079025997167971e-15,,,,,,,,,,,,,,9.47880882986572e-16,268453376
,,,,,,,1.4320076340464256e-16,,,,,,,,,,,,,,,,,,,,,,128
,,,,,,,,,,,,,,9.756561976173398e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,,1.6124355417163201e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,1.3479186553505683e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,,,,,,,,,,,,,2.986413410517471e-17,,,,,16777216
,4.6392952568531285e-15,,,,,,,6.06198865968394e-16,1.022565376281053e-14,3.0794921094773375e-14,,,,1.8954109583089575e-15,,,,,,,,,,,,,,6.991501799636016e-17,268453634
,,,,,,,,,,2.0558394891479485e-16,,,,,,,,,,,,,,,,,,,1024
,,,5.5226395527384165e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.406018537518798e-17,268435456
,,,,,,,,,,,,,,1.2752426778922708e-15,,,,,,,,,,,,,,,16384
,,,,,,,,3.204453912098365e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,,,9.094403834660917e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,9.587789547619196e-16,,,,,,,,,,,,,,,,,4096
,,,6.3600931614166914e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.684725265515561e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,2.518296130983853e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,5.7483969873570815e-15,1.0997495752742938e-16,,,,1.22113954827957e-15,,,,,,,,,,,,,,1.1468723041812458e-16,268453376
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6307565342446728e-16,268435456
,,,,,,,,,,6.960996553558535e-16,,,,1.4197871853927638e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,8.771683123035468e-16,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,4.586360223151735e-16,,,,1.2647450828453544e-15,,,,,,,,,,,,,,,17408
,,,,,,,,,,,,,,1.1710737855202597e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,,,8.56952148685556e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,2.5432116204399346e-15,1.1720661795576522e-15,,,,1.7331013099248985e-15,,,,,,,,,,,,,,,17920
,,,,,,,,,,3.2145790302741937e-16,,,,8.779474685523643e-16,,,,,,,,,,,,,,,17408
,,,,,4.619224477110663e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,4.878604526461941e-15,2.4715309073282493e-16,,,,3.1268646891545987e-15,,,,,,,,,,,,,,,17920
,,,,,,,,,,1.6540046139461406e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,8.354562045389685e-16,,,,,,,,,,,,,,,,,4096
,2.2343536073003612e-15,,,,,,,,3.924007304997674e-15,2.4025123876773845e-15,,,,5.079425673351634e-15,,,,,,,,,,,,,,,17922
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0435518139771742e-16,268435456
,,,,,,,,,,,,,,2.1239363559577736e-15,,,,,,,,,,,,,,,16384
,,,,,,,,,,1.6817174215503e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,2.885749680330557e-16,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,4.441533810493919e-15,4.051157600531337e-16,,,,1.2445573401676092e-15,,,,,,,,,,,,,,1.7521581465565209e-16,268453376
,,,,5.3181815039636444e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,7.610559772615585e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,,,,,,8.601821978958338e-16,,,,,,,,,,,,,,,16384
,,,,,5.560717031476598e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,5.838674534213435e-15,,5.0886664310280875e-15,,,,,,,,,,,,,,,,,,,,,,,,40
,,,5.637999888371864e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
