23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,8192
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
0.03605848521747407,0.07276847459139457,0.38559435249318014,,,0.13408889816142008,0.009815724028215598,,,0.1774429834199167,0.008067179854440184,,,,,,0.03802263263377732,,,,,,,0.13659509538077555,,0.00043516902371557785,,,0.0011110051956900802,310445671
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,0.4340242104506458,,,,0.22930563988423075,,,,0.3366701496651234,,,,,,,,,,,,,,,,,,,1092
,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,65536
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
0.1347205521146844,,,0.41299174842474135,,,0.042146402903942684,0.010212079081954886,,0.33693126159213876,,,,,0.043722275750260234,,,,,,,,,,,,,,0.01927568013227768,268452553
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,0.04981358955058064,0.5875469712349506,,,0.020799802102093055,,,0.33428691690086737,,,,,,,,,,,,,,,,,,,0.007552720211508383,268436044
,,,,,,0.4886238194840516,,,,,,,,,,,0.5113761805159485,,,,,,,,,,,,131136
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,16
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,0.9693821023973092,,,,0.03061789760269079,,,,,,,,,,,,,,,,,,,,,,,68
,,0.8179727212084402,,,,,,,,,,,,,,,0.05164758303958387,,,,,,0.09432210867342643,,,,,0.03605758707854932,276955140
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,0.7124056865040824,,,,0.24538496375472035,,,,,,,,,,,,,,,,,0.022351599370296623,,,,,0.019857750370900616,276824132
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2048
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,0.13332394847359832,0.7057523801449772,,,,0.045908028426451315,,,,,,,,,,0.05067915144574239,,,,,,,0.06433649150923085,,,,,,8454214
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
0.6714677970489216,,0.3285322029510784,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,,0.670786030975796,,,,,,,,0.32921396902420397,,,,,,,,,,,,,,,,,,,1028
,,0.6224342298560911,0.377565770143909,,,,,,,,,,,,,,,,,,,,,,,,,,12
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,0.12600592484308967,,,,0.8739940751569104,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,64
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
0.13271462131521786,0.10049367471462824,0.2536782407471595,,,,0.01774363738258637,,,0.4178416786868586,0.02686528014671925,,,,,,0.004328360559394739,,,,,,,0.03944232864979483,,0.0017145997440711728,,,0.005177578053569316,310445639
,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,,0.6420824790216286,,,,0.02205982002297652,,,0.3142429753297972,0.015060242780119434,,,,,,,,,,,,,0.006554482845478157,,,,,,8390212
,,0.6841310116992083,,,,0.3158689883007917,,,,,,,,,,,,,,,,,,,,,,,68
,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1048576
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,256
,,0.1770863913552846,,,,,,,0.8229136086447154,,,,,,,,,,,,,,,,,,,,516
,,0.5315303737795263,,,,0.4684696262204738,,,,,,,,,,,,,,,,,,,,,,,68
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,2048
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,0.0805651915102443,0.7707947930946671,,,,0.03669685959295077,,,0.09170805392779341,0.0025306611329969438,,,,,,0.0042998821599865775,,,,,,,0.009704196078462424,,0.0011486217627242746,,,0.00255174074017417,310445638
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,0.09147862599690765,0.6414398724004546,,,,0.12316806924766675,,,,0.010451988511340571,,,,,,0.04013956700292632,,,,,,,0.08937787485156255,,,,,0.003944001989141571,276890694
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,0.8037258570701719,,,,,,,,,,,,,,,,,,,,,0.19627414292982814,,,,,,8388612
,,0.9734563459990057,,,,,,,,,,,,,,,,,,,,,0.026543654000994343,,,,,,8388612
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,4096
,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,512
0.052478861326744175,,0.03156179521528846,0.5826848796849345,,,0.06458374189817215,0.004992376929742279,0.0069353867799333176,0.2043362761458598,0.0029927118401256,0.004494907486041227,,,0.027910893921163825,,,,,,,,,,,0.001433601452147548,,,0.015594567319847027,302010317
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,32
