23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
,,,5.586498034481554e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,9.336013448894758e-16,6.633856586736191e-15,,,,1.485300633922679e-15,,,3.028989018832924e-15,1.1066817386216975e-16,,,,,,2.750724164063665e-16,,,,,,,5.83857273968e-16,,,,,7.801921344437202e-17,276891206
,,,,,,,,,,,,6.713321291128819e-16,,,,,,,,,,,,,,,,,4096
,,4.28292654077545e-15,,,,,,,4.1575447324762044e-15,,,,,,,,,,,,,,1.6514403764424582e-16,,,,,7.448909652277067e-17,276824580
,,2.645200057771895e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,5.508724203744748e-16,,,,2.493583322051795e-16,,,,1.5951189984100864e-16,,,,,,,,,,,,,1.314296847437338e-16,,,,,6.587905913167536e-17,276825156
,,3.3483592293544997e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,4.667022703014857e-14,,,,,,,,,,,,,,,,,,,,,,,,,16
,1.031669155707622e-15,5.731993555385195e-16,,,,,,,,,,,,,,1.1020307857503363e-16,,,,,,,2.303308641698224e-16,,,,,,8454150
,,9.719391418837507e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,2.0650155339397208e-16,,,,,,,,,,,,,,,,8192
,,5.40180636505459e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
3.174894614457057e-15,6.407153175988513e-15,3.3950994494421855e-14,,,1.1806322924094131e-14,8.642595263285299e-16,,,1.562358399237689e-14,7.103028793152611e-16,,,,,,3.3478347980618576e-15,,,,,,,1.2026989765934815e-14,,3.831596866702509e-17,,,9.782231258901833e-17,310445671
,,,,,,,,3.7973258196153054e-16,,,,,,,,,,,,,,,,,,,,,256
,,1.6970922950990913e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,3.719426264406139e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
