23Na,24Mg,27Al,28Si,39K,44Ca,48Ti,51V,52Cr,54Fe,55Mn,59Co,60Ni,63Cu,66Zn,75As,88Sr,90Zr,93Nb,98Mo,111Cd,120Sn,121Sb,138Ba,139La,140Ce,184W,205Tl,208Pb,embedding
1.9844324459394447e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.582786930988204e-17,268435456
,,,,,4.770900672901692e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,4.8300367036282944e-15,,,67108864
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.511436496573485e-17,268435456
,,,,,,,,,,,,,,2.395180281028126e-15,,,,,,,,,,,,,,2.3906373112774847e-15,268451840
,,2.637220263668002e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0114139183135034e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.4256695180368897e-16,268435456
2.0087629136284673e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1681166998413627e-16,268435456
,,,,,,,,,,,,,,6.485346744403892e-16,,,,,,,,,,,,,,,16384
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0704489947938985e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.146816889844725e-16,268435456
1.947568129680347e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.650432065615166e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0458540817148613e-16,268435456
,,,,,4.723956351771851e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0208849822747186e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.713173133732106e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.571706211750613e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.502826438426921e-17,268435456
,,,,,,,,,,1.3497220354856528e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.962864128133536e-17,268435456
,,,5.429083608822543e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.607500788330162e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,4.86218108775737e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,2.0190578034414015e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,6.171881012273748e-15,1.9280601573992202e-13,,,5.336839077355892e-15,1.4140804662330586e-14,,6.292221584480392e-16,4.3147670144901255e-15,1.0744345024479334e-15,,,1.4559351036171626e-15,1.0765153512779437e-15,,,,,,,,,,,3.964535445427786e-17,,,,33580902
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.62460189117548e-17,268435456
,,3.140362023241968e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
1.828127479588778e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,1.0396556512964011e-16,,,,33554432
,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.1737694158130963e-16,268435456
1.7743054641024596e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.726687258388665e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0742672044136265e-16,268435456
,,,,,,,,,2.64693994014633e-15,,,,,,,,,,,,,,,,,,,,512
,,5.785000650636525e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.3573476030512693e-16,,,,,,,,,,,,,,,,,,,,,,,,,,1.5900087188042119e-16,268435460
,,,,,,1.9148004395409683e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,2.445397335171755e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.951783408895934e-17,268435456
,,2.989419444833139e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.736227797670851e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,5.2585989612665005e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.969003525189051e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.100958315483081e-16,268435456
2.3132626114417813e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.833713255935152e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.652902726706202e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,3.194780455647668e-17,,,,33554432
,,1.6778648451084044e-15,,,,6.20652247407877e-16,,,,,,,,,,,,,,,,,,,,,,,68
,,1.7470467738790309e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,2.9882346948891236e-15,,,,,,,,,,,,,,,,,,,,,1.3128696474378696e-16,,,,,6.987643308856072e-16,276824068
,,,,,,1.8963809951421313e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,2.862099705463451e-16,,,,,,,,,,,,,,,,,,,,,256
,,,5.508586685608664e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,1.1464764661898997e-15,8.08443177069584e-15,,,,,,,,,,,,,,,,,,,,,1.3533958573621277e-16,,,,,1.2275258934979826e-16,276824070
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8087037806175377e-16,268435456
,,1.122207634688634e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.261744810323278e-17,268435456
,,5.539719055478375e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,5.896511920493878e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.806648442798739e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.651667396160684e-17,268435456
,,7.146628498630388e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.581551600442685e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1250664091085678e-16,268435456
,,,,,,,,,,1.0518099800348193e-16,,,,,,,,,,,,,,,,,,,1024
,,,,,4.864788896034378e-15,,,,,,,,,,,,,,,,,,,,,,,,32
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8526148696103517e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.9464644342229568e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.806648442798739e-17,268435456
,,,,,,,,,,,,,,,,,,1.0566876809190352e-16,,,,,,,,,,,262144
,,6.316444443723408e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.6688875124538e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,4.382029743805375e-17,,,,33554432
,,,,,,2.482732198454076e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,,,,,,,,,,,,6.461121375326813e-16,,,,,,,,,,,,,,,16384
,,3.2495539911191146e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4023097279487415e-16,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.564331484149569e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.634447279867568e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.126454541069369e-17,268435456
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.7639314782554253e-16,268435456
,,2.9579730216889697e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,1.902520809941742e-16,,,,,,,,,,,,,,,,,,,,,,,64
,,,5.380731181959206e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,,5.511899363619889e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,1.0435917284381232e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,2.808081928709913e-16,,,,,,,,,,,,,,,,,,,,,256
,,3.827537884019738e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8.306030431601583e-17,268435460
,,2.860489362625231e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.760487454996799e-16,268435456
,,,5.2790280219299195e-15,,,,,,,,,,,,,,,,,,,,,,,,,,8
,,2.935960525488049e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,3.278726032393125e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.513906465815735e-17,268435456
